,sinus
0,-2.4492935982947065e-15
1,-0.01571517425251808
2,-0.031426467140623825
3,-0.04712999825853675
4,-0.06282188911750525
5,-0.07849826410362654
6,-0.09415525143532266
7,-0.10978898411921803
8,-0.12539560090561325
9,-0.14097124724157953
10,-0.156512076223866
11,-0.1720142495480851
12,-0.18747393845721197
13,-0.20288732468704976
14,-0.21825060140949498
15,-0.2335599741724207
16,-0.24881166183706097
17,-0.264001897511828
18,-0.27912692948255724
19,-0.29418302213965886
20,-0.30916645689954625
21,-0.32407353312458353
22,-0.3389005690358802
23,-0.35364390262316736
24,-0.3682998925491395
25,-0.382864919048799
26,-0.39733538482336844
27,-0.4117077159292803
28,-0.4259783626597301
29,-0.4401438004229477
30,-0.4542005306110563
31,-0.46814508146570427
32,-0.4819740089344022
33,-0.4956838975216526
34,-0.509271361132413
35,-0.5227330439084008
36,-0.5360656210567373
37,-0.5492657996718816
38,-0.5623303195479493
39,-0.575255953983944
40,-0.5880395105814503
41,-0.6006778320330787
42,-0.6131677969013435
43,-0.6255063203905208
44,-0.6376903551074649
45,-0.6497168918160323
46,-0.6615829601785361
47,-0.6732856294902517
48,-0.6848220094029056
49,-0.6961892506393671
50,-0.7073845456957117
51,-0.7184051295361232
52,-0.7292482802756134
53,-0.739911319851488
54,-0.7503916146855708
55,-0.7606865763337373
56,-0.7707936621267166
57,-0.7807103757965822
58,-0.7904342680940365
59,-0.7999629373931806
60,-0.8092940302846727
61,-0.8184252421569783
62,-0.8273543177655666
63,-0.8360790517897911
64,-0.8445972893783097
65,-0.8529069266793186
66,-0.8610059113631086
67,-0.8688922431266165
68,-0.8765639741875557
69,-0.8840192097674902
70,-0.89125610855756
71,-0.898272883174377
72,-0.9050678006012509
73,-0.9116391826162134
74,-0.9179854062065081
75,-0.9241049039694463
76,-0.9299961644995263
77,-0.9356577327617238
78,-0.941088210450859
79,-0.9462862563369531
80,-0.9512505865963473
81,-0.9559799751294854
82,-0.960473253862336
83,-0.964729313036168
84,-0.9687471014815389
85,-0.9725256268767515
86,-0.9760639559946659
87,-0.979361214931533
88,-0.9824165893239258
89,-0.9852293245497682
90,-0.9877987259138985
91,-0.9901241588207866
92,-0.992205048930453
93,-0.994040882300427
94,-0.995631205513212
95,-0.9969756257874932
96,-0.9980738110758542
97,-0.9989254901463279
98,-0.9995304526494918
99,-0.9998885491705893
100,-0.9999996912662218
101,-0.9998638514862973
102,-0.9994810633807901
103,-0.9988514214914535
104,-0.99797508132847
105,-0.9968522593320439
106,-0.9954832328189432
107,-0.9938683399140084
108,-0.9920079794666408
109,-0.9899026109522949
110,-0.9875527543590673
111,-0.9849589900589111
112,-0.9821219586650104
113,-0.9790423608729372
114,-0.9757209572874872
115,-0.9721585682357851
116,-0.9683560735632196
117,-0.9643144124176664
118,-0.9600345830165045
119,-0.955517642399971
120,-0.9507647061713983
121,-0.9457769482198506
122,-0.9405556004315017
123,-0.9351019523854825
124,-0.9294173510338011
125,-0.9235032003710522
126,-0.9173609610852065
127,-0.910992150198679
128,-0.904398340692619
129,-0.8975811611197511
130,-0.8905422951992082
131,-0.8832834814044164
132,-0.8758065125318134
133,-0.8681132352568998
134,-0.860205549681203
135,-0.8520854088599017
136,-0.8437548183207367
137,-0.8352158355696829
138,-0.8264705695818789
139,-0.817521180279699
140,-0.8083698780002452
141,-0.799018922951075
142,-0.7894706246482356
143,-0.7797273413496137
144,-0.769791479471497
145,-0.7596654929901447
146,-0.7493518828426013
147,-0.7388531963050443
148,-0.7281720263623511
149,-0.7173110110719578
150,-0.7062728329073628
151,-0.6950602181006306
152,-0.6836759359639537
153,-0.6721227982101982
154,-0.660403658257242
155,-0.6485214105184316
156,-0.6364789896958526
157,-0.6242793700508147
158,-0.6119255646677776
159,-0.5994206247151365
160,-0.5867676386866575
161,-0.5739697316407812
162,-0.5610300644302971
163,-0.5479518329202295
164,-0.5347382671969781
165,-0.5213926307720192
166,-0.5079182197782298
167,-0.494318362150377
168,-0.4805964168086184
169,-0.4667557728266018
170,-0.45279984859280126
171,-0.4387320909678058
172,-0.42455597443465587
173,-0.4102750002391114
174,-0.3958926955232355
175,-0.38141261245587754
176,-0.36683832735789146
177,-0.35217343981297033
178,-0.33742157178536025
179,-0.32258636671937313
180,-0.3076714886420461
181,-0.29268062125993394
182,-0.2776174670475961
183,-0.2624857463305171
184,-0.24728919637236493
185,-0.2320315704458351
186,-0.21671663690827084
187,-0.20134817827273047
188,-0.18592999027201795
189,-0.170465880919411
190,-0.15495966956992174
191,-0.13941518597878827
192,-0.12383626935381054
193,-0.10822676740532487
194,-0.09259053539768347
195,-0.07693143519979603
196,-0.06125333432498084
197,-0.04556010498209841
198,-0.02985562311738042
199,-0.014143767450774912
200,0.0015715814711217125
201,0.01728654223984979
202,0.0329972335455447
203,0.048699775129185364
204,0.06439028874731267
205,0.08006489912715517
206,0.09571973492193873
207,0.11135092966976332
208,0.12695462274583652
209,0.1425269603231987
210,0.15806409631371288
211,0.1735621933243107
212,0.1890174236065367
213,0.20442596999566154
214,0.21978402685971943
215,0.23508780103673432
216,0.2503335127697994
217,0.26551739664239715
218,0.28063570251013686
219,0.29568469642519624
220,0.3106606615559439
221,0.3255598991110148
222,0.340378729246768
223,0.35511349197791237
224,0.36976054808739983
225,0.38431628001501367
226,0.398777092756838
227,0.41313941475479066
228,0.4273996987728901
229,0.4415544227800063
230,0.4556000908131387
231,0.46953323384740747
232,0.48335041064713496
233,0.49704820861744803
234,0.5106232446526392
235,0.52407216596222
236,0.5373916509045883
237,0.5505784098088976
238,0.5636291857821695
239,0.5765407555190487
240,0.5893099300955758
241,0.6019335557553392
242,0.6144085146899171
243,0.6267317258103378
244,0.6389001455065662
245,0.6509107683971469
246,0.6627606280763862
247,0.6744467978421119
248,0.6859663914206442
249,0.6973165636809581
250,0.7084945113359975
251,0.7194974736337714
252,0.7303227330405544
253,0.7409676159132913
254,0.7514294931586338
255,0.7617057808799201
256,0.771793941023087
257,0.7816914819899818
258,0.7913959592695322
259,0.8009049760315095
260,0.8102161837187257
261,0.819327282630446
262,0.8282360224917865
263,0.8369402030027266
264,0.8454376743897895
265,0.8537263379298871
266,0.8618041464727201
267,0.8696691049453684
268,0.8773192708450372
269,0.8847527547179733
270,0.8919677206295414
271,0.8989623866117088
272,0.9057350251098379
273,0.9122839634036312
274,0.9186075840235263
275,0.9247043251486675
276,0.9305726809954434
277,0.9362112021851541
278,0.9416184961048307
279,0.946793227250467
280,0.9517341175568642
281,0.9564399467127599
282,0.9609095524638699
283,0.9651418308987182
284,0.9691357367203853
285,0.972890283506216
286,0.9764045439509169
287,0.9796776500955842
288,0.9827087935417368
289,0.9854972256523519
290,0.9880422577346595
291,0.9903432612114161
292,0.9923996677768246
293,0.9942109695352974
294,0.9957767191278237
295,0.9970965298428756
296,0.998170075710831
297,0.9989970915852364
298,0.9995773732080967
299,0.9999107772603242
300,0.9999972213971395
301,0.9998366842684541
302,0.9994292055239795
303,0.9987748858036161
304,0.9978738867125252
305,0.996726430781221
306,0.9953328014106092
307,0.9936933428021957
308,0.991808459872288
309,0.9896786181531267
310,0.9873043436774657
311,0.9846862228476992
312,0.9818249022926809
313,0.9787210887073194
314,0.9753755486768336
315,0.9717891084895753
316,0.9679626539315421
317,0.9638971300679494
318,0.9595935410098161
319,0.9550529496659675
